,Color space,Canny,Watershed
0,0.3576,0.0464,0.3986
1,0.3685,0.0401,0.3986
2,0.2912,0.0387,0.3251
3,0.2715,0.043,0.3103
4,0.2873,0.0394,0.3199
5,0.1958,0.0696,0.3081
