,Color space,Canny,Watershed
0,0.2177,0.0238,0.2489
1,0.2258,0.0205,0.2489
2,0.1704,0.0198,0.1941
3,0.1571,0.022,0.1836
4,0.1677,0.0201,0.1904
5,0.1085,0.0361,0.1821
